No. , DateTime, packetNumber, packet_nAddpos, packet_nPos ,packet_ArrayByte, Ticks
235, 2022-03-14 PM 5:49:20 and 240ms, 970123, 13, 0, 637828769602404570, 
236, 2022-03-14 PM 5:49:20 and 491ms, 970123, 10, 0, 637828769604916950, 
237, 2022-03-14 PM 5:49:20 and 658ms, 970123, 13, 0, 637828769606582930, 
238, 2022-03-14 PM 5:49:20 and 961ms, 970123, 9, 0, 637828769609615570, 
239, 2022-03-14 PM 5:49:21 and 361ms, 970123, 11, 0, 637828769613613720, 
240, 2022-03-14 PM 5:49:22 and 230ms, 970123, 10, 0, 637828769622307640, 
241, 2022-03-14 PM 5:49:22 and 417ms, 970123, 19, 0, 637828769624175010, 
242, 2022-03-14 PM 5:49:25 and 876ms, 970112, 13, 0, 637828769658764830, 
243, 2022-03-14 PM 5:49:25 and 976ms, 10210, 45, 0, 637828769659766440, 
244, 2022-03-14 PM 5:49:28 and 17ms, 970112, 13, 0, 637828769680171960, 
245, 2022-03-14 PM 5:49:28 and 33ms, 10202, 74, 0, 637828769680333290, 
246, 2022-03-14 PM 5:49:28 and 62ms, 10214, 38, 0, 637828769680624280, 
247, 2022-03-14 PM 5:49:28 and 76ms, 10202, 76, 0, 637828769680763220, 
248, 2022-03-14 PM 5:49:28 and 133ms, 10215, 12, 0, 637828769681336470, 
249, 2022-03-14 PM 5:49:28 and 150ms, 10202, 77, 0, 637828769681509230, 
250, 2022-03-14 PM 5:49:28 and 167ms, 10214, 41, 0, 637828769681674070, 
251, 2022-03-14 PM 5:49:28 and 183ms, 10202, 95, 0, 637828769681833680, 
252, 2022-03-14 PM 5:49:30 and 241ms, 970123, 13, 0, 637828769702412720, 
253, 2022-03-14 PM 5:49:30 and 258ms, 970123, 10, 0, 637828769702582020, 
254, 2022-03-14 PM 5:49:30 and 894ms, 10214, 59, 0, 637828769708942700, 
255, 2022-03-14 PM 5:49:30 and 911ms, 10202, 77, 0, 637828769709110430, 
256, 2022-03-14 PM 5:49:30 and 943ms, 10214, 41, 0, 637828769709430100, 
257, 2022-03-14 PM 5:49:30 and 960ms, 10202, 74, 0, 637828769709605490, 
258, 2022-03-14 PM 5:49:31 and 195ms, 10214, 38, 0, 637828769711957070, 
259, 2022-03-14 PM 5:49:31 and 212ms, 10202, 73, 0, 637828769712123010, 
260, 2022-03-14 PM 5:49:31 and 228ms, 10214, 37, 0, 637828769712281290, 
261, 2022-03-14 PM 5:49:31 and 244ms, 10202, 75, 0, 637828769712445840, 
262, 2022-03-14 PM 5:49:31 and 564ms, 10214, 39, 0, 637828769715643160, 
263, 2022-03-14 PM 5:49:31 and 579ms, 970112, 65, 0, 637828769715790680, 
264, 2022-03-14 PM 5:49:33 and 36ms, 970123, 13, 0, 637828769730361960, 
265, 2022-03-14 PM 5:49:33 and 51ms, 970123, 10, 0, 637828769730515940, 
266, 2022-03-14 PM 5:49:33 and 569ms, 970123, 31, 0, 637828769735697540, 
267, 2022-03-14 PM 5:49:33 and 854ms, 970123, 11, 0, 637828769738549540, 
268, 2022-03-14 PM 5:49:33 and 871ms, 970123, 9, 0, 637828769738712660, 
269, 2022-03-14 PM 5:49:34 and 373ms, 970112, 13, 0, 637828769743731080, 
270, 2022-03-14 PM 5:49:35 and 342ms, 10216, 76, 0, 637828769753426030, 
271, 2022-03-14 PM 5:49:36 and 11ms, 970138, 582, 0, 637828769760119890, 
272, 2022-03-14 PM 5:49:37 and 384ms, 10217, 311, 0, 637828769773844420, 
273, 2022-03-14 PM 5:49:38 and 420ms, 970112, 13, 0, 637828769784208590, 
274, 2022-03-14 PM 5:49:38 and 437ms, 970112, 13, 0, 637828769784375040, 
275, 2022-03-14 PM 5:49:38 and 453ms, 10218, 423, 0, 637828769784534370, 
276, 2022-03-14 PM 5:49:39 and 173ms, 970112, 13, 0, 637828769791732710, 
277, 2022-03-14 PM 5:49:39 and 189ms, 10218, 195, 0, 637828769791893150, 
278, 2022-03-14 PM 5:49:41 and 330ms, 970114, 379, 0, 637828769813309610, 
279, 2022-03-14 PM 5:49:41 and 347ms, 970112, 13, 0, 637828769813476590, 
280, 2022-03-14 PM 5:49:41 and 363ms, 10218, 209, 0, 637828769813635120, 
281, 2022-03-14 PM 5:49:42 and 184ms, 970112, 13, 0, 637828769821848820, 
282, 2022-03-14 PM 5:49:42 and 201ms, 10218, 134, 0, 637828769822010390, 
283, 2022-03-14 PM 5:49:43 and 388ms, 970112, 13, 0, 637828769833888050, 
284, 2022-03-14 PM 5:49:43 and 405ms, 10218, 569, 0, 637828769834052490, 
285, 2022-03-14 PM 5:49:43 and 423ms, 970024, 40, 0, 637828769834233150, 
286, 2022-03-14 PM 5:49:46 and 248ms, 970112, 13, 0, 637828769862483670, 
287, 2022-03-14 PM 5:49:47 and 536ms, 970135, 22, 0, 637828769875364510, 
288, 2022-03-14 PM 5:49:47 and 553ms, 970111, 254, 0, 637828769875531660, 
289, 2022-03-14 PM 5:49:47 and 571ms, 970126, 32, 0, 637828769875718100, 
290, 2022-03-14 PM 5:49:47 and 587ms, 970126, 34, 0, 637828769875871180, 
291, 2022-03-14 PM 5:49:47 and 603ms, 970112, 13, 0, 637828769876030120, 
292, 2022-03-14 PM 5:49:48 and 807ms, 970112, 13, 0, 637828769888074520, 
293, 2022-03-14 PM 5:49:48 and 824ms, 10229, 731, 0, 637828769888241740, 
294, 2022-03-14 PM 5:49:48 and 841ms, 970135, 22, 0, 637828769888411960, 
295, 2022-03-14 PM 5:49:48 and 857ms, 10208, 404, 0, 637828769888575420, 
296, 2022-03-14 PM 5:49:49 and 612ms, 970137, 26, 0, 637828769896129870, 
297, 2022-03-14 PM 5:49:50 and 591ms, 10212, 67, 0, 637828769905917920, 
298, 2022-03-14 PM 5:49:50 and 608ms, 10212, 67, 0, 637828769906084760, 
299, 2022-03-14 PM 5:49:50 and 851ms, 10212, 67, 0, 637828769908514260, 
300, 2022-03-14 PM 5:49:51 and 68ms, 10212, 67, 0, 637828769910683510, 
301, 2022-03-14 PM 5:49:51 and 201ms, 10212, 67, 0, 637828769912012040, 
302, 2022-03-14 PM 5:49:51 and 370ms, 10212, 67, 0, 637828769913702840, 
303, 2022-03-14 PM 5:49:51 and 577ms, 10212, 67, 0, 637828769915777000, 
304, 2022-03-14 PM 5:49:51 and 612ms, 10212, 46, 0, 637828769916126820, 
305, 2022-03-14 PM 5:49:51 and 628ms, 10212, 67, 0, 637828769916280960, 
306, 2022-03-14 PM 5:49:51 and 777ms, 10212, 46, 0, 637828769917775930, 
307, 2022-03-14 PM 5:49:51 and 980ms, 10212, 46, 0, 637828769919809120, 
308, 2022-03-14 PM 5:49:52 and 79ms, 970106, 19, 0, 637828769920798870, 
309, 2022-03-14 PM 5:49:52 and 180ms, 10212, 67, 0, 637828769921802970, 
310, 2022-03-14 PM 5:49:52 and 198ms, 10212, 67, 0, 637828769921984420, 
311, 2022-03-14 PM 5:49:52 and 397ms, 10212, 67, 0, 637828769923971950, 
312, 2022-03-14 PM 5:49:52 and 565ms, 10212, 46, 0, 637828769925651590, 
313, 2022-03-14 PM 5:49:52 and 631ms, 10212, 67, 0, 637828769926312610, 
314, 2022-03-14 PM 5:49:52 and 653ms, 10212, 67, 0, 637828769926535060, 
315, 2022-03-14 PM 5:49:52 and 803ms, 10212, 67, 0, 637828769928036030, 
316, 2022-03-14 PM 5:49:52 and 904ms, 10212, 67, 0, 637828769929045100, 
317, 2022-03-14 PM 5:49:52 and 953ms, 10212, 46, 0, 637828769929536480, 
318, 2022-03-14 PM 5:49:53 and 205ms, 10212, 67, 0, 637828769932053940, 
319, 2022-03-14 PM 5:49:53 and 322ms, 10212, 67, 0, 637828769933220250, 
320, 2022-03-14 PM 5:49:53 and 522ms, 10212, 67, 0, 637828769935221230, 
321, 2022-03-14 PM 5:49:53 and 539ms, 10212, 46, 0, 637828769935392380, 
322, 2022-03-14 PM 5:49:53 and 722ms, 10212, 67, 0, 637828769937224470, 
323, 2022-03-14 PM 5:49:53 and 924ms, 10212, 67, 0, 637828769939248110, 
324, 2022-03-14 PM 5:49:53 and 941ms, 10212, 48, 0, 637828769939411460, 
325, 2022-03-14 PM 5:49:53 and 957ms, 10212, 49, 0, 637828769939575310, 
326, 2022-03-14 PM 5:49:53 and 974ms, 10212, 45, 0, 637828769939740380, 
327, 2022-03-14 PM 5:49:53 and 990ms, 10212, 55, 0, 637828769939909290, 
328, 2022-03-14 PM 5:49:54 and 7ms, 10212, 49, 0, 637828769940079630, 
329, 2022-03-14 PM 5:49:54 and 24ms, 970112, 65, 0, 637828769940241100, 
330, 2022-03-14 PM 5:49:54 and 952ms, 10209, 317, 0, 637828769949524350, 
331, 2022-03-14 PM 5:49:54 and 969ms, 970112, 65, 0, 637828769949694980, 
332, 2022-03-14 PM 5:49:58 and 30ms, 970112, 13, 0, 637828769980301400, 
333, 2022-03-14 PM 5:49:59 and 969ms, 970123, 10, 0, 637828769999697070, 
334, 2022-03-14 PM 5:50:00 and 388ms, 970123, 31, 0, 637828770003887640, 
335, 2022-03-14 PM 5:50:01 and 192ms, 970123, 11, 0, 637828770011920080, 
336, 2022-03-14 PM 5:50:01 and 510ms, 970123, 13, 0, 637828770015108440, 
337, 2022-03-14 PM 5:50:02 and 646ms, 970123, 10, 0, 637828770026469660, 
338, 2022-03-14 PM 5:50:02 and 830ms, 970123, 13, 0, 637828770028303860, 
339, 2022-03-14 PM 5:50:03 and 616ms, 970123, 19, 0, 637828770036160920, 
340, 2022-03-14 PM 5:50:04 and 369ms, 970123, 12, 0, 637828770043694200, 
341, 2022-03-14 PM 5:50:05 and 406ms, 970112, 13, 0, 637828770054061560, 
342, 2022-03-14 PM 5:50:05 and 422ms, 10210, 94, 0, 637828770054227380, 
343, 2022-03-14 PM 5:50:05 and 906ms, 970138, 323, 0, 637828770059069360, 
344, 2022-03-14 PM 5:50:07 and 497ms, 970112, 13, 0, 637828770074973590, 
345, 2022-03-14 PM 5:50:07 and 513ms, 10202, 74, 0, 637828770075137130, 
346, 2022-03-14 PM 5:50:07 and 747ms, 10214, 38, 0, 637828770077479220, 
347, 2022-03-14 PM 5:50:07 and 764ms, 10202, 77, 0, 637828770077649730, 
348, 2022-03-14 PM 5:50:09 and 904ms, 10214, 41, 0, 637828770099048620, 
349, 2022-03-14 PM 5:50:09 and 922ms, 10202, 95, 0, 637828770099220340, 
350, 2022-03-14 PM 5:50:09 and 938ms, 10214, 59, 0, 637828770099385650, 
351, 2022-03-14 PM 5:50:09 and 968ms, 10202, 74, 0, 637828770099683820, 
352, 2022-03-14 PM 5:50:09 and 981ms, 10215, 10, 0, 637828770099818130, 
353, 2022-03-14 PM 5:50:09 and 994ms, 10202, 83, 0, 637828770099946050, 
354, 2022-03-14 PM 5:50:10 and 7ms, 970123, 10, 0, 637828770100078010, 
355, 2022-03-14 PM 5:50:11 and 611ms, 970125, 1, 0, 637828770116114760, 
356, 2022-03-14 PM 5:50:11 and 627ms, 10214, 47, 0, 637828770116276140, 
357, 2022-03-14 PM 5:50:11 and 644ms, 10202, 75, 0, 637828770116446940, 
358, 2022-03-14 PM 5:50:11 and 677ms, 10214, 39, 0, 637828770116776010, 
359, 2022-03-14 PM 5:50:11 and 694ms, 970112, 65, 0, 637828770116945260, 
360, 2022-03-14 PM 5:50:12 and 882ms, 970123, 31, 0, 637828770128821990, 
361, 2022-03-14 PM 5:50:13 and 333ms, 970123, 19, 0, 637828770133334660, 
362, 2022-03-14 PM 5:50:13 and 350ms, 970123, 13, 0, 637828770133504250, 
363, 2022-03-14 PM 5:50:15 and 391ms, 970123, 11, 0, 637828770153917960, 
364, 2022-03-14 PM 5:50:15 and 843ms, 970112, 13, 0, 637828770158436970, 
365, 2022-03-14 PM 5:50:16 and 872ms, 10216, 79, 0, 637828770168725210, 
366, 2022-03-14 PM 5:50:17 and 876ms, 970106, 19, 0, 637828770178763570, 
367, 2022-03-14 PM 5:50:18 and 912ms, 10217, 305, 0, 637828770189124020, 
